I, [2016-05-22T07:59:43.023946 #26963]  INFO -- ubuntu-centos7: -----> Creating <ubuntu-centos7>...
E, [2016-05-22T07:59:43.024218 #26963] ERROR -- ubuntu-centos7: Create failed on instance <ubuntu-centos7>.
E, [2016-05-22T07:59:43.024369 #26963] ERROR -- ubuntu-centos7: ------Exception-------
E, [2016-05-22T07:59:43.024417 #26963] ERROR -- ubuntu-centos7: Class: Kitchen::ActionFailed
E, [2016-05-22T07:59:43.024454 #26963] ERROR -- ubuntu-centos7: Message: Unknown platform 'centos7'
E, [2016-05-22T07:59:43.024490 #26963] ERROR -- ubuntu-centos7: ------Backtrace-------
E, [2016-05-22T07:59:43.024526 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:172:in `build_dockerfile'
E, [2016-05-22T07:59:43.024563 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:198:in `dockerfile'
E, [2016-05-22T07:59:43.024600 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:215:in `build_image'
E, [2016-05-22T07:59:43.024637 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:94:in `create'
E, [2016-05-22T07:59:43.024709 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:273:in `public_send'
E, [2016-05-22T07:59:43.024749 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:273:in `block in perform_action'
E, [2016-05-22T07:59:43.024785 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:308:in `call'
E, [2016-05-22T07:59:43.024831 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:308:in `synchronize_or_call'
E, [2016-05-22T07:59:43.024869 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:283:in `block in action'
E, [2016-05-22T07:59:43.024906 #26963] ERROR -- ubuntu-centos7: /usr/local/rvm/rubies/ruby-2.1.6/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-05-22T07:59:43.024942 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:282:in `action'
E, [2016-05-22T07:59:43.024979 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:273:in `perform_action'
E, [2016-05-22T07:59:43.025014 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:252:in `create_action'
E, [2016-05-22T07:59:43.025050 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:246:in `block in transition_to'
E, [2016-05-22T07:59:43.025086 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:245:in `each'
E, [2016-05-22T07:59:43.025122 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:245:in `transition_to'
E, [2016-05-22T07:59:43.025163 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:108:in `create'
E, [2016-05-22T07:59:43.025200 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:109:in `public_send'
E, [2016-05-22T07:59:43.025251 #26963] ERROR -- ubuntu-centos7: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:109:in `block (2 levels) in run_action'
E, [2016-05-22T07:59:43.025292 #26963] ERROR -- ubuntu-centos7: ----------------------
