I, [2016-05-22T07:58:20.730954 #26903]  INFO -- ubuntu-container: -----> Creating <ubuntu-container>...
E, [2016-05-22T07:58:20.731192 #26903] ERROR -- ubuntu-container: Create failed on instance <ubuntu-container>.
E, [2016-05-22T07:58:20.731333 #26903] ERROR -- ubuntu-container: ------Exception-------
E, [2016-05-22T07:58:20.731380 #26903] ERROR -- ubuntu-container: Class: Kitchen::ActionFailed
E, [2016-05-22T07:58:20.731418 #26903] ERROR -- ubuntu-container: Message: Unknown platform 'container'
E, [2016-05-22T07:58:20.731454 #26903] ERROR -- ubuntu-container: ------Backtrace-------
E, [2016-05-22T07:58:20.731488 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:172:in `build_dockerfile'
E, [2016-05-22T07:58:20.731524 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:198:in `dockerfile'
E, [2016-05-22T07:58:20.731560 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:215:in `build_image'
E, [2016-05-22T07:58:20.731595 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/kitchen-docker-2.1.0/lib/kitchen/driver/docker.rb:94:in `create'
E, [2016-05-22T07:58:20.731630 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:273:in `public_send'
E, [2016-05-22T07:58:20.731699 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:273:in `block in perform_action'
E, [2016-05-22T07:58:20.731739 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:308:in `call'
E, [2016-05-22T07:58:20.731784 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:308:in `synchronize_or_call'
E, [2016-05-22T07:58:20.731823 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:283:in `block in action'
E, [2016-05-22T07:58:20.731859 #26903] ERROR -- ubuntu-container: /usr/local/rvm/rubies/ruby-2.1.6/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-05-22T07:58:20.731893 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:282:in `action'
E, [2016-05-22T07:58:20.731928 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:273:in `perform_action'
E, [2016-05-22T07:58:20.731964 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:252:in `create_action'
E, [2016-05-22T07:58:20.731999 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:246:in `block in transition_to'
E, [2016-05-22T07:58:20.732034 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:245:in `each'
E, [2016-05-22T07:58:20.732069 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:245:in `transition_to'
E, [2016-05-22T07:58:20.732104 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/instance.rb:108:in `create'
E, [2016-05-22T07:58:20.732139 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:109:in `public_send'
E, [2016-05-22T07:58:20.732190 #26903] ERROR -- ubuntu-container: /media/ibm/project/chef-repo/cookbooks/web-app/vendor/bundle/ruby/2.1.0/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:109:in `block (2 levels) in run_action'
E, [2016-05-22T07:58:20.732230 #26903] ERROR -- ubuntu-container: ----------------------
