F, [2016-05-20T09:42:28.536166 #24765] FATAL -- web-app-1-centos-66: The `berkshelf' gem is missing and must be installed or cannot be properly activated. Run `gem install berkshelf` or add the following to your Gemfile if you are using Bundler: `gem 'berkshelf'`.
I, [2016-05-20T09:44:12.374148 #25255]  INFO -- web-app-1-centos-66: -----> Creating <web-app-1-centos-66>...
I, [2016-05-20T09:44:12.409213 #25255]  INFO -- web-app-1-centos-66: Sending build context to Docker daemon  2.56 kB
I, [2016-05-20T09:44:12.409347 #25255]  INFO -- web-app-1-centos-66: Sending build context to Docker daemon 
I, [2016-05-20T09:44:12.454129 #25255]  INFO -- web-app-1-centos-66: Step 0 : FROM centos:centos6
I, [2016-05-20T09:44:12.600309 #25255]  INFO -- web-app-1-centos-66:  ---> 6e93f19d1d37
I, [2016-05-20T09:44:12.600444 #25255]  INFO -- web-app-1-centos-66: Step 1 : RUN yum clean all
I, [2016-05-20T09:44:15.418233 #25255]  INFO -- web-app-1-centos-66:  ---> Running in 8e381a02563f
I, [2016-05-20T09:44:20.798111 #25255]  INFO -- web-app-1-centos-66: Loaded plugins: fastestmirror
I, [2016-05-20T09:44:20.871965 #25255]  INFO -- web-app-1-centos-66: Cleaning repos: base extras updates
I, [2016-05-20T09:44:20.872038 #25255]  INFO -- web-app-1-centos-66: Cleaning up Everything
I, [2016-05-20T09:44:24.760330 #25255]  INFO -- web-app-1-centos-66:  ---> 65558ce850f0
I, [2016-05-20T09:44:25.663585 #25255]  INFO -- web-app-1-centos-66: Removing intermediate container 8e381a02563f
I, [2016-05-20T09:44:25.663747 #25255]  INFO -- web-app-1-centos-66: Step 2 : RUN yum install -y sudo openssh-server openssh-clients which curl
I, [2016-05-20T09:44:25.920197 #25255]  INFO -- web-app-1-centos-66:  ---> Running in 50605777e5f1
I, [2016-05-20T09:44:26.315665 #25255]  INFO -- web-app-1-centos-66: Loaded plugins: fastestmirror
I, [2016-05-20T09:44:26.383471 #25255]  INFO -- web-app-1-centos-66: Setting up Install Process
I, [2016-05-20T09:44:26.383876 #25255]  INFO -- web-app-1-centos-66: Determining fastest mirrors
I, [2016-05-20T09:44:28.254345 #25255]  INFO -- web-app-1-centos-66:  * base: repos.dfw.quadranet.com
I, [2016-05-20T09:44:28.254485 #25255]  INFO -- web-app-1-centos-66:  * extras: mirrors.adams.net
I, [2016-05-20T09:44:28.254534 #25255]  INFO -- web-app-1-centos-66:  * updates: repos.dfw.quadranet.com
I, [2016-05-20T09:45:31.162014 #25255]  INFO -- web-app-1-centos-66: Package which-2.19-6.el6.x86_64 already installed and latest version
I, [2016-05-20T09:45:31.163139 #25255]  INFO -- web-app-1-centos-66: Package curl-7.19.7-46.el6.x86_64 already installed and latest version
I, [2016-05-20T09:45:31.163232 #25255]  INFO -- web-app-1-centos-66: Resolving Dependencies
I, [2016-05-20T09:45:31.164074 #25255]  INFO -- web-app-1-centos-66: --> Running transaction check
I, [2016-05-20T09:45:31.164515 #25255]  INFO -- web-app-1-centos-66: ---> Package openssh-clients.x86_64 0:5.3p1-114.el6_7 will be installed
I, [2016-05-20T09:45:31.261320 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: openssh = 5.3p1-114.el6_7 for package: openssh-clients-5.3p1-114.el6_7.x86_64
I, [2016-05-20T09:45:31.264020 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: libfipscheck.so.1()(64bit) for package: openssh-clients-5.3p1-114.el6_7.x86_64
I, [2016-05-20T09:45:31.266741 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: libedit.so.0()(64bit) for package: openssh-clients-5.3p1-114.el6_7.x86_64
I, [2016-05-20T09:45:31.269277 #25255]  INFO -- web-app-1-centos-66: ---> Package openssh-server.x86_64 0:5.3p1-114.el6_7 will be installed
I, [2016-05-20T09:45:31.300097 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: /sbin/service for package: openssh-server-5.3p1-114.el6_7.x86_64
I, [2016-05-20T09:45:31.305409 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: libwrap.so.0()(64bit) for package: openssh-server-5.3p1-114.el6_7.x86_64
I, [2016-05-20T09:45:31.307824 #25255]  INFO -- web-app-1-centos-66: ---> Package sudo.x86_64 0:1.8.6p3-20.el6_7 will be installed
I, [2016-05-20T09:45:31.315744 #25255]  INFO -- web-app-1-centos-66: --> Running transaction check
I, [2016-05-20T09:45:31.316184 #25255]  INFO -- web-app-1-centos-66: ---> Package fipscheck-lib.x86_64 0:1.2.0-7.el6 will be installed
I, [2016-05-20T09:45:31.321849 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: /usr/bin/fipscheck for package: fipscheck-lib-1.2.0-7.el6.x86_64
I, [2016-05-20T09:45:31.322931 #25255]  INFO -- web-app-1-centos-66: ---> Package initscripts.x86_64 0:9.03.49-1.el6.centos.5 will be installed
I, [2016-05-20T09:45:31.391381 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: util-linux-ng >= 2.16 for package: initscripts-9.03.49-1.el6.centos.5.x86_64
I, [2016-05-20T09:45:31.396200 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: udev >= 125-1 for package: initscripts-9.03.49-1.el6.centos.5.x86_64
I, [2016-05-20T09:45:31.399295 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: sysvinit-tools >= 2.87-6 for package: initscripts-9.03.49-1.el6.centos.5.x86_64
I, [2016-05-20T09:45:31.400590 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: /sbin/pidof for package: initscripts-9.03.49-1.el6.centos.5.x86_64
I, [2016-05-20T09:45:31.401355 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: /sbin/ip for package: initscripts-9.03.49-1.el6.centos.5.x86_64
I, [2016-05-20T09:45:31.402813 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: /sbin/blkid for package: initscripts-9.03.49-1.el6.centos.5.x86_64
I, [2016-05-20T09:45:31.404671 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: /sbin/arping for package: initscripts-9.03.49-1.el6.centos.5.x86_64
I, [2016-05-20T09:45:31.405058 #25255]  INFO -- web-app-1-centos-66: ---> Package libedit.x86_64 0:2.11-4.20080712cvs.1.el6 will be installed
I, [2016-05-20T09:45:31.406441 #25255]  INFO -- web-app-1-centos-66: ---> Package openssh.x86_64 0:5.3p1-114.el6_7 will be installed
I, [2016-05-20T09:45:31.414321 #25255]  INFO -- web-app-1-centos-66: ---> Package tcp_wrappers-libs.x86_64 0:7.6-57.el6 will be installed
I, [2016-05-20T09:45:31.418439 #25255]  INFO -- web-app-1-centos-66: --> Running transaction check
I, [2016-05-20T09:45:31.418727 #25255]  INFO -- web-app-1-centos-66: ---> Package fipscheck.x86_64 0:1.2.0-7.el6 will be installed
I, [2016-05-20T09:45:31.420400 #25255]  INFO -- web-app-1-centos-66: ---> Package iproute.x86_64 0:2.6.32-45.el6 will be installed
I, [2016-05-20T09:45:31.429634 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: iptables >= 1.4.5 for package: iproute-2.6.32-45.el6.x86_64
I, [2016-05-20T09:45:31.436694 #25255]  INFO -- web-app-1-centos-66: --> Processing Dependency: libxtables.so.4()(64bit) for package: iproute-2.6.32-45.el6.x86_64
I, [2016-05-20T09:45:31.436994 #25255]  INFO -- web-app-1-centos-66: ---> Package iputils.x86_64 0:20071127-20.el6 will be installed
I, [2016-05-20T09:45:31.443797 #25255]  INFO -- web-app-1-centos-66: ---> Package sysvinit-tools.x86_64 0:2.87-6.dsf.el6 will be installed
